time,latitude,longitude,depth,mag,magType,place
2014-03-18T01:48:37.000Z,60.7612,-143.1839,7.9,1.2,ml,Alaska
2014-03-18T01:13:22.700Z,33.4993,-116.468,10.3,1.2,Ml,California
2014-03-18T00:58:36.500Z,33.899,-116.0855,7.7,1.2,Ml,California
2014-03-18T00:56:25.100Z,38.8143,-122.8207,3.2,0.4,Md,California
2014-03-18T00:56:03.000Z,63.2099,-148.8977,74.2,1.1,ml,Alaska
2014-03-18T00:44:01.700Z,38.81,-122.818,3.5,0.6,Md,California
2014-03-18T00:34:33.300Z,38.8247,-122.7982,3.2,0.8,Md,California
2014-03-18T00:26:16.830Z,-16.7968,167.0934,34.06,4.7,mb,Vanuatu
2014-03-18T00:13:05.800Z,34.3262,-116.834,5.4,1.5,Ml,California
2014-03-18T00:10:12.000Z,63.5207,-147.443,2.9,0.8,ml,Alaska
2014-03-17T23:53:43.000Z,63.0629,-150.7361,100,1.7,ml,Alaska
2014-03-17T23:49:07.600Z,38.823,-122.8423,2.2,0.8,Md,California
2014-03-17T23:39:15.200Z,37.6218,-118.8393,6,0.6,Md,California
2014-03-17T23:38:19.740Z,36.0761,-97.5562,5.08,2.7,mb_lg,Oklahoma
2014-03-17T23:37:01.200Z,18.937,-64.3693,61,3.1,Md,British Virgin Islands
2014-03-17T23:36:53.300Z,19.3952,-155.268,1.6,1.8,Md,Hawaii
2014-03-17T23:35:52.000Z,19.3977,-155.254,3.2,1.8,md,Hawaii
2014-03-17T22:50:47.700Z,37.4437,-118.6767,6.9,1.5,Md,California
2014-03-17T22:38:11.130Z,12.3334,-90.1325,35,4.6,mb,El Salvador
2014-03-17T22:02:06.000Z,63.5196,-147.8601,0,1.7,ml,Alaska
2014-03-17T21:59:58.200Z,36.1083,-118.0677,5.6,1.4,Ml,California
2014-03-17T21:53:37.000Z,63.2447,-151.0751,15.2,1.8,ml,Alaska
2014-03-17T21:49:44.900Z,36.7525,-121.5965,0,1.6,Md,California
2014-03-17T21:27:59.200Z,32.977,-115.57,10.6,1.8,Ml,California
2014-03-17T21:22:24.000Z,63.0572,-151.4646,0,1.9,ml,Alaska
2014-03-17T21:20:46.600Z,38.7723,-122.7435,1.9,1.4,Md,California
2014-03-17T20:51:25.500Z,46.4285,-122.3872,13.9,0.5,Md,Washington
2014-03-17T20:45:36.500Z,38.7567,-122.7298,3,1.2,Md,California
2014-03-17T20:37:30.400Z,33.7053333,-116.8103333,17.72,0.84,ml,California
2014-03-17T20:34:56.430Z,35.0478333,-118.3183333,0.01,1.53,ml,California
2014-03-17T20:32:21.000Z,37.6353,-118.9167,7.6,0.2,Md,California
2014-03-17T20:30:23.280Z,35.503,-97.304,7.2,2.6,ml,Oklahoma
2014-03-17T20:26:00.900Z,38.835,-122.79,1.3,0.8,Md,California
2014-03-17T20:22:53.500Z,38.8258,-122.7817,2.4,0.8,Md,California
2014-03-17T20:07:13.100Z,38.8355,-122.8792,3.2,0.8,Md,California
2014-03-17T20:02:26.900Z,38.806,-122.821,3.4,0.7,Md,California
2014-03-17T19:46:45.000Z,37.6205,-118.8452,6.8,1.6,Md,California
2014-03-17T19:43:13.400Z,38.8117,-122.8165,3,1.6,Md,California
2014-03-17T19:41:37.660Z,34.1243333,-118.49,7.93,1.11,ml,California
2014-03-17T19:21:37.390Z,33.6698333,-116.7203333,16.87,0.47,ml,California
2014-03-17T19:15:59.990Z,36.0768333,-117.9018333,3.96,0.29,ml,California
2014-03-17T19:05:30.300Z,-20.0232,-70.6743,32.24,5.3,mb,Chile
2014-03-17T18:51:07.000Z,61.4948,-151.7907,0,2.2,ml,Alaska
2014-03-17T18:48:40.000Z,59.8384,-151.724,50.3,1.9,ml,Alaska
2014-03-17T18:45:55.260Z,35.893,-97.275,5.1,3.1,ml,Oklahoma
2014-03-17T18:33:03.800Z,38.831,-122.7785,1.1,0.9,Md,California
2014-03-17T18:28:10.090Z,36.0983333,-117.8453333,2.89,0.51,ml,California
2014-03-17T18:25:14.280Z,36.094,-117.843,2.58,1.52,ml,California
2014-03-17T18:21:47.070Z,34.1541667,-117.3991667,8.37,0.62,ml,California
2014-03-17T18:17:07.300Z,38.811,-122.8258,2.9,1.4,Md,California
2014-03-17T18:13:48.000Z,61.8551,-148.4635,25.6,1.2,ml,Alaska
2014-03-17T18:04:20.010Z,33.1853333,-115.6386667,6.31,1.7,ml,California
2014-03-17T18:03:41.000Z,64.8775,-148.9712,8.2,1.4,ml,Alaska
2014-03-17T18:02:52.270Z,38.803833,-122.7941666,6.29,1.44,md,California
2014-03-17T18:00:48.100Z,38.8205,-122.8212,2.6,0.6,Md,California
2014-03-17T17:55:41.600Z,38.7595,-122.7023,2.1,1.1,Md,California
2014-03-17T17:30:12.100Z,18.3355,-65.0225,127,2.4,Md,U.S. Virgin Islands
2014-03-17T17:29:22.340Z,36.1148333,-118.057,1.13,2.17,ml,California
2014-03-17T17:29:06.000Z,63.3117,-144.9131,0,2.2,ml,Alaska
2014-03-17T17:07:32.900Z,34.1408333,-118.5006667,9.51,2.42,ml,California
2014-03-17T16:58:34.170Z,36.1286667,-118.0823333,5,1.02,ml,California
2014-03-17T16:57:23.720Z,38.8208351,-122.8249969,4.32,0.56,md,California
2014-03-17T16:55:22.600Z,38.8385,-122.7843,1.9,1.1,Md,California
2014-03-17T16:50:43.050Z,35.5071667,-118.2736667,10.02,1.04,ml,California
2014-03-17T16:46:20.170Z,36.1153333,-118.0576667,0.07,2.01,ml,California
2014-03-17T16:41:48.360Z,32.8996667,-116.2721667,7.84,1.89,ml,California
2014-03-17T16:37:11.300Z,38.8418,-122.8385,2.1,0.6,Md,California
2014-03-17T16:35:00.180Z,40.7243,78.4348,41.47,4.7,mb,China
2014-03-17T16:21:52.200Z,38.8358,-122.801,3.2,0.2,Md,California
2014-03-17T16:11:11.400Z,38.8117,-122.829,2.7,1.1,Md,California
2014-03-17T16:01:52.610Z,37.6221667,-118.8405,6.82,0.88,md,California
2014-03-17T16:01:21.380Z,36.1035,-117.8625,5.79,0.39,ml,California
2014-03-17T15:56:14.550Z,36.1015,-117.8588333,5.36,0.33,ml,California
2014-03-17T15:55:51.590Z,36.1078333,-117.8588333,5.41,0.29,ml,California
2014-03-17T15:51:04.410Z,33.5128333,-116.4658333,9.75,0.6,ml,California
2014-03-17T15:49:21.430Z,35.9278333,-117.1725,0.01,0.76,ml,California
2014-03-17T15:42:38.520Z,33.5143333,-116.4591667,8.22,0.48,ml,California
2014-03-17T15:19:50.030Z,33.2798333,-116.4346667,6.78,0.96,ml,California
2014-03-17T15:13:19.600Z,38.8308,-122.8115,2.5,0.9,Md,California
2014-03-17T15:07:54.840Z,-3.0295,130.2864,57.75,4.3,mb,Indonesia
2014-03-17T15:01:43.510Z,34.1211667,-118.49,8.51,1.3,ml,California
2014-03-17T14:54:24.230Z,36.1026667,-117.8725,6.18,0.75,ml,California
2014-03-17T14:45:50.880Z,34.115,-118.4845,8.57,1.31,ml,California
2014-03-17T14:40:15.000Z,64.5541,-148.8416,17.9,0.9,ml,Alaska
2014-03-17T14:28:15.000Z,61.8466,-148.5498,17.1,1.5,ml,Alaska
2014-03-17T14:23:39.620Z,34.1255,-118.4896667,8.58,2.62,ml,California
2014-03-17T14:05:54.000Z,65.1422,-150.299,13.8,1.7,ml,Alaska
2014-03-17T13:56:04.770Z,34.1193333,-118.4941667,9.63,1.46,ml,California
2014-03-17T13:55:07.700Z,34.1063333,-118.4803333,9.51,0.91,ml,California
2014-03-17T13:53:48.000Z,62.0485,-149.3602,35,1.5,ml,Alaska
2014-03-17T13:47:53.010Z,35.1876667,-118.2061667,1.53,2.16,ml,California
2014-03-17T13:34:33.990Z,34.1005,-118.4875,8.41,0.69,ml,California
2014-03-17T13:25:36.900Z,34.1346667,-118.4858333,9.88,4.39,mw,California
2014-03-17T13:24:51.900Z,-53.1605,-32.3478,25.42,5.6,mb,South Georgia Island region
2014-03-17T13:21:57.140Z,33.502,-116.4686667,9.36,0.35,ml,California
2014-03-17T13:12:56.860Z,24.0398,122.4538,37.08,5.3,mb,Japan
2014-03-17T12:55:01.100Z,19.2346,-68.1435,41,3.2,Md,Dominican Republic
2014-03-17T12:40:57.480Z,33.0858333,-116.538,9.37,1.03,ml,California
2014-03-17T12:26:03.920Z,5.0336,126.6811,84.87,4.7,mb,Philippines
2014-03-17T11:29:34.880Z,-20.1588,-70.857,17.83,4.4,mb,Chile
2014-03-17T11:28:50.300Z,38.8095,-122.8255,4.2,0.2,Md,California
2014-03-17T11:15:06.000Z,63.38,-145.0745,0,2,ml,Alaska
2014-03-17T11:12:15.300Z,-19.9298,-70.948,14.53,5.2,mb,Chile
2014-03-17T11:06:35.400Z,36.7135,-121.3572,3.5,1.6,Md,California
2014-03-17T10:52:21.000Z,63.3114,-145.218,3.3,1.9,ml,Alaska
2014-03-17T10:49:59.000Z,63.3046,-145.2147,0.5,1.9,ml,Alaska
2014-03-17T10:43:17.000Z,35.987,-120.5517,10.9,0.7,Md,California
2014-03-17T10:41:43.000Z,60.2043,-140.8286,21.5,1.5,ml,Alaska
2014-03-17T10:40:35.140Z,33.3373333,-116.759,18.88,0.69,ml,California
2014-03-17T10:33:43.410Z,41.4136658,-121.8796692,2.61,1.72,md,California
2014-03-17T10:21:58.030Z,32.2345,-115.2638333,18.6,2.85,ml,Mexico
2014-03-17T09:57:54.300Z,38.7895,-122.7698,3.9,0.5,Md,California
2014-03-17T09:38:59.600Z,47.8933,-122.8552,17.8,0.8,Md,Washington
2014-03-17T09:26:09.790Z,33.8593333,-118.2998333,11.97,1.93,ml,California
2014-03-17T09:12:59.510Z,-20.0791,-70.7755,15.92,4.5,mb,Chile
2014-03-17T09:08:55.260Z,33.3385,-116.4205,8,0.95,ml,California
2014-03-17T09:02:50.070Z,36.9817,141.4921,13.38,5,mb,Japan
2014-03-17T09:02:03.300Z,38.8255,-122.7982,2.1,0.5,Md,California
2014-03-17T08:51:05.520Z,-20.0196,-70.8269,16.37,4.9,mb,Chile
2014-03-17T08:42:51.100Z,38.8107,-122.7437,3,0.6,Md,California
2014-03-17T08:42:02.300Z,38.7998,-122.8023,3.3,0.7,Md,California
2014-03-17T08:32:36.220Z,-20.0372,-70.6372,12.4,5.3,mb,Chile
2014-03-17T08:16:18.000Z,60.9509,-147.3679,20.4,1.9,ml,Alaska
2014-03-17T08:13:38.720Z,35.5187,-97.2924,10.56,3.3,mb_lg,Oklahoma
2014-03-17T08:13:37.650Z,36.105,-117.8611667,5.03,0.42,ml,California
2014-03-17T07:54:58.450Z,-20.0595,-70.8617,14.39,4.6,mb,Chile
2014-03-17T07:45:21.000Z,59.8417,-153.404,128.1,2.4,ml,Alaska
2014-03-17T07:23:29.000Z,63.0779,-151.4687,6.5,1.7,ml,Alaska
2014-03-17T07:18:41.100Z,44.8205,-110.542,4.7,1.9,Ml,Wyoming
2014-03-17T07:15:37.200Z,35.0606,-87.4607,8.9,2.3,md,Tennessee
2014-03-17T07:12:19.210Z,-3.5094,131.7253,36.95,4.8,mb,Indonesia
2014-03-17T07:12:01.600Z,38.8088,-122.8138,2.3,1,Md,California
2014-03-17T07:02:37.600Z,44.7805,-110.7827,5.7,0.6,Md,Montana
2014-03-17T06:51:25.700Z,36.5462,-121.1372,5.4,1.8,Md,California
2014-03-17T06:44:14.700Z,46.4177,-119.2798,0.4,0.9,Md,Washington
2014-03-17T06:29:05.490Z,31.6886667,-115.8983333,4.65,2.83,ml,Mexico
2014-03-17T06:25:52.870Z,34.0368333,-117.1016667,9.99,0.74,ml,California
2014-03-17T06:08:59.400Z,38.8248,-122.8033,3.6,0.6,Md,California
2014-03-17T06:00:01.880Z,36.031,-117.589,4.19,1.23,ml,California
2014-03-17T05:50:00.300Z,38.8097,-122.8125,2.6,0.9,Md,California
2014-03-17T05:35:15.600Z,36.7597,-121.4147,8.3,1.6,Md,California
2014-03-17T05:31:26.400Z,19.2147,-66.6856,34,3,Md,Puerto Rico
2014-03-17T05:30:14.190Z,9.5019,125.3151,84.63,5.1,mb,Philippines
2014-03-17T05:26:52.600Z,38.8107,-122.8222,2.4,0.8,Md,California
2014-03-17T05:22:05.900Z,39.2418,-122.7185,6.6,1.8,Md,California
2014-03-17T05:19:34.750Z,-19.984,-70.8918,12.01,5,mb,Chile
2014-03-17T05:11:34.980Z,-20.003,-70.8741,17,6.2,mww,Chile
2014-03-17T04:57:13.940Z,36.1068333,-117.8698333,5.65,0.11,ml,California
2014-03-17T04:53:22.480Z,33.6625,-116.7195,15.22,0.3,ml,California
2014-03-17T04:51:02.830Z,-19.9472,-176.0391,231.98,4.7,mb,Tonga
2014-03-17T04:45:35.100Z,38.8082,-122.814,0.9,0.7,Md,California
2014-03-17T04:39:24.730Z,34.2441667,-117.0475,5.2,0.79,ml,California
2014-03-17T04:36:40.300Z,36.482,-97.762,5,2.3,mb_lg,Oklahoma
2014-03-17T04:29:28.800Z,38.815,-122.8257,3,1.5,Md,California
2014-03-17T04:27:11.637Z,38.0986,-116.7636,2,1.53,ml,Nevada
2014-03-17T04:20:19.000Z,63.2591,-151.1276,17.5,1,ml,Alaska
2014-03-17T04:16:53.900Z,38.7937,-122.7953,3.2,0.5,Md,California
2014-03-17T04:14:51.440Z,-17.9747,-70.4164,94.49,4.8,mb,Peru
2014-03-17T03:57:22.800Z,38.8235,-122.7995,2.2,0.8,Md,California
2014-03-17T03:30:20.540Z,36.1065,-117.8706667,6.09,0.1,ml,California
2014-03-17T03:28:21.600Z,-20.0769,-70.754,10,4.6,mb,Chile
2014-03-17T02:52:22.230Z,37.9045,144.0749,36.47,4.6,mb,Japan
2014-03-17T02:43:04.600Z,37.6385,-118.9332,8.1,0.4,Md,California
2014-03-17T02:19:49.000Z,37.5208,-118.8292,8.1,1.9,Md,California
2014-03-17T02:18:33.000Z,63.2537,-151.024,0,1.8,ml,Alaska
2014-03-17T02:10:29.000Z,58.8229,-152.2411,12,3.5,ml,Alaska
2014-03-17T02:09:51.270Z,34.22,-117.5801667,7.61,0.87,ml,California
2014-03-17T02:05:58.330Z,-20.0345,-70.9705,23.63,4.6,mb,Chile
2014-03-17T01:55:51.780Z,36.7645,-121.4135,9.08,2.1,md,California
2014-03-17T01:47:03.700Z,38.8132,-122.8237,2.9,0.6,Md,California
2014-03-17T01:46:07.400Z,38.8223,-122.8443,1.8,0.6,Md,California
2014-03-17T01:34:55.820Z,-19.9781,-70.7659,10,5.2,mb,Chile
2014-03-17T01:15:53.100Z,19.2963,-155.3823,3.3,1.8,Md,Hawaii
2014-03-17T00:55:03.890Z,-20.0679,-70.7528,10,4.9,mb,Chile
2014-03-17T00:52:56.500Z,18.9972,-66.3895,53,2.5,Md,Puerto Rico
2014-03-17T00:52:10.200Z,36.7728,-121.4103,9.8,1,Md,California
2014-03-17T00:52:08.550Z,35.4835,-116.9368333,2.79,1.85,ml,California
2014-03-17T00:49:21.700Z,46.5775,-113.2365,4.2,2.5,mc,Montana
2014-03-17T00:42:00.000Z,65.0228,-147.4173,5.2,1,ml,Alaska
2014-03-17T00:35:26.860Z,-4.1113,100.4451,13.72,5,mb,Indonesia
2014-03-17T00:13:14.000Z,65.1397,-145.5139,13.3,1.5,ml,Alaska
2014-03-17T00:12:09.750Z,-20.0609,-70.6459,10,5.1,mb,Chile
2014-03-17T00:09:13.870Z,35.8701667,-118.1001667,14.2,0.61,ml,California
2014-03-17T00:00:05.000Z,63.3376,-147.7361,46.5,1.2,ml,Alaska
2014-03-16T23:52:48.500Z,38.8243332,-122.7761688,1.84,0.79,md,California
2014-03-16T23:20:21.000Z,61.405,-146.6821,33.3,1.8,ml,Alaska
2014-03-16T23:10:45.900Z,19.2882,-155.3882,2.5,2.2,Md,Hawaii
2014-03-16T23:09:01.000Z,64.6386,-146.9031,1.8,0.7,ml,Alaska
2014-03-16T23:08:11.600Z,-20.2268,-70.7359,10,4.9,mb,Chile
2014-03-16T23:04:23.700Z,19.2902,-155.3877,3.4,1.1,Md,Hawaii
2014-03-16T23:02:59.500Z,38.8215,-122.8258,3,0.9,Md,California
2014-03-16T23:00:50.600Z,38.7855,-122.7365,2,0.4,Md,California
2014-03-16T22:54:09.690Z,-18.854,-69.7894,11.86,4.9,mb,Chile
2014-03-16T22:46:20.000Z,62.9879,-148.1296,5,0.2,ml,Alaska
2014-03-16T22:44:56.200Z,38.7892,-122.7773,1,0.9,Md,California
2014-03-16T22:35:24.490Z,40.9261667,-122.462,17.76,2.6,md,California
2014-03-16T22:29:35.180Z,-19.984,-70.9083,10.92,4.9,mb,Chile
2014-03-16T22:13:50.270Z,32.8721667,-116.2303333,4.53,1.87,ml,California
2014-03-16T22:13:27.700Z,37.6303,-118.8907,5.5,0.6,Md,California
2014-03-16T22:11:29.000Z,37.6288,-118.8877,5.3,0.8,Md,California
2014-03-16T22:06:29.000Z,63.4242,-150.6565,0.1,1.4,ml,Alaska
2014-03-16T22:03:02.000Z,40.932,-122.4585,17.3,2.4,Md,California
2014-03-16T21:58:17.610Z,37.6701667,-118.8428333,6.36,0.28,md,California
2014-03-16T21:56:05.610Z,37.6258316,-118.8883362,5.64,1.25,md,California
2014-03-16T21:55:33.390Z,32.8751667,-116.2348333,4.02,3.47,ml,California
2014-03-16T21:39:59.000Z,62.1266,-149.4252,28.5,2.7,ml,Alaska
2014-03-16T21:28:11.400Z,38.8193,-122.7848,2.1,1,Md,California
2014-03-16T21:27:37.000Z,37.6272,-118.8897,5.6,1.1,Md,California
2014-03-16T21:26:27.380Z,-19.9317,-70.3046,35,5.1,mb,Chile
2014-03-16T21:23:11.000Z,63.5634,-147.6387,0.1,1.7,ml,Alaska
2014-03-16T21:16:30.770Z,-19.9246,-70.6278,20,6.7,mww,Chile
2014-03-16T21:13:34.800Z,38.8198,-122.7872,3.6,0.7,Md,California
2014-03-16T20:44:36.200Z,36.1755,-120.2817,11.3,2.8,Md,California
2014-03-16T20:43:36.000Z,38.8252,-122.8557,2.7,0.4,Md,California
