"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Oh my gosh <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #GagaAHSHotel #AHSHotel #LadygagaAHSHotel #Oscars2015 #AmericanHorrorStoryHotel #hilarious http://t.co/wRWmgo0rfI",FALSE,0,NA,2015-02-26 06:07:04,FALSE,NA,"570827366940979200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","damiandee1230",0,FALSE,FALSE,NA,NA
"RT @TooRacist: Maybe if we brought back slavery there would be less blacks in correctional facilities...? #Oscars2015",FALSE,0,NA,2015-02-26 06:05:37,FALSE,NA,"570827002262847488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LILCOBEY",216,TRUE,FALSE,NA,NA
"RT @renelovit: It's #Oscars2015! We will win ours soon! #happyrussians #wecrusheverything! Go watch @LanaWWE #crush on #WWEFastLane! http:/…",FALSE,0,NA,2015-02-26 06:05:35,FALSE,NA,"570826992179814400",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","youdontliftz",66,TRUE,FALSE,NA,NA
"JOHN TRAVOLTA AND KIM JONG SECRET LOVE ... LOL !!!! #FUNNY #ASIA #OSCARS2015 #AcademyAwards #MEME #JOHNTRAVOLTA http://t.co/bOa6ROgzVS",FALSE,0,NA,2015-02-26 06:05:24,FALSE,NA,"570826949695832064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DanielVanCarvey",0,FALSE,FALSE,NA,NA
"RT @TheDebrief: Every dress worn by best actress winners #OSCARS2015 http://t.co/DXEKJwszB1",FALSE,0,NA,2015-02-26 06:05:23,FALSE,NA,"570826943815426048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mceastburn",801,TRUE,FALSE,NA,NA
"RT @ArmandaH: “It's time for us to have wage equality once and for all, and equal rights for women"" #PatriciaArquette  #Oscars2015” http://…",FALSE,0,NA,2015-02-26 06:05:10,FALSE,NA,"570826887829823489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kindaclassie",205,TRUE,FALSE,NA,NA
"Oscars 2015. I was very entertained. A super-quick 3 1/2 hours!!! @craigzadan @neilmeron @Deadline @THR @Variety @TheAcademy #Oscars2015",FALSE,0,NA,2015-02-26 06:05:05,FALSE,NA,"570826868485529600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JaviMulero1",0,FALSE,FALSE,NA,NA
"My reaction when Rosamund Pike didn't win Best Actress. #Oscars2015 #9gag http://t.co/D771E9Ymm3",FALSE,0,NA,2015-02-26 06:05:03,FALSE,NA,"570826860138860544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mcbgrrr",0,FALSE,FALSE,NA,NA
"RT @ShayeMann: GREED, REVENGE &amp; MURDER #Zionnationalpark http://t.co/vI5kPgmAoz #freebookpromo #MondayBlogs #BookBoost #Oscars2015 http://t…",FALSE,0,NA,2015-02-26 06:04:50,FALSE,NA,"570826807076724736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","writerswebla",59,TRUE,FALSE,NA,NA
"RT @PortalKatyPerry: ""JUSTICE FOR LEGENDARY LOVERS"" #Oscars2015 http://t.co/CP1kThonP1",FALSE,0,NA,2015-02-26 06:04:45,FALSE,NA,"570826786218512384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KatycatRose",303,TRUE,FALSE,NA,NA
"RT @samkalidi: Meryl Streep and Jennifer Lopez take a selfie. #Oscars2015 http://t.co/MO8HiXtQTy",FALSE,0,NA,2015-02-26 06:04:30,FALSE,NA,"570826721894801412",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SophiaGehue",267,TRUE,FALSE,NA,NA
"RT @ArmandaH: “It's time for us to have wage equality once and for all, and equal rights for women"" #PatriciaArquette  #Oscars2015” http://…",FALSE,0,NA,2015-02-26 06:04:28,FALSE,NA,"570826712256266240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","edge_walking",205,TRUE,FALSE,NA,NA
"RT @ArmandaH: “It's time for us to have wage equality once and for all, and equal rights for women"" #PatriciaArquette  #Oscars2015” http://…",FALSE,0,NA,2015-02-26 06:04:04,FALSE,NA,"570826614210043904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","netzermo",205,TRUE,FALSE,NA,NA
