,age,checking_status=0<=X<200,checking_status=<0,checking_status=>=200,checking_status=no checking,credit_amount,credit_history=all paid,credit_history=critical/other existing credit,credit_history=delayed previously,credit_history=existing paid,credit_history=no credits/all paid,duration,employment=1<=X<4,employment=4<=X<7,employment=<1,employment=>=7,employment=unemployed,existing_credits,foreign_worker=no,foreign_worker=yes,housing=for free,housing=own,housing=rent,installment_commitment,job=high qualif/self emp/mgmt,job=skilled,job=unemp/unskilled non res,job=unskilled resident,num_dependents,other_parties=co applicant,other_parties=guarantor,other_parties=none,other_payment_plans=bank,other_payment_plans=none,other_payment_plans=stores,own_telephone=none,own_telephone=yes,personal_status=female div/dep/mar,personal_status=male div/sep,personal_status=male mar/wid,personal_status=male single,property_magnitude=car,property_magnitude=life insurance,property_magnitude=no known property,property_magnitude=real estate,purpose=business,purpose=domestic appliance,purpose=education,purpose=furniture/equipment,purpose=new car,purpose=other,purpose=radio/tv,purpose=repairs,purpose=retraining,purpose=used car,residence_since,savings_status=100<=X<500,savings_status=500<=X<1000,savings_status=<100,savings_status=>=1000,savings_status=no known savings,class
0,67,0,1,0,0,1169,0,1,0,0,0,6,0,0,0,1,0,2,0,1,0,1,0,4,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,good
1,22,1,0,0,0,5951,0,0,0,1,0,48,1,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,bad
2,49,0,0,0,1,2096,0,1,0,0,0,12,0,1,0,0,0,1,0,1,0,1,0,2,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,good
3,45,0,1,0,0,7882,0,0,0,1,0,42,0,1,0,0,0,1,0,1,1,0,0,2,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,good
4,53,0,1,0,0,4870,0,0,1,0,0,24,1,0,0,0,0,2,0,1,1,0,0,3,0,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,bad
5,35,0,0,0,1,9055,0,0,0,1,0,36,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,good
6,53,0,0,0,1,2835,0,0,0,1,0,24,0,0,0,1,0,1,0,1,0,1,0,3,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,good
7,35,1,0,0,0,6948,0,0,0,1,0,36,1,0,0,0,0,1,0,1,0,0,1,2,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,good
8,61,0,0,0,1,3059,0,0,0,1,0,12,0,1,0,0,0,1,0,1,0,1,0,2,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,good
9,28,1,0,0,0,5234,0,1,0,0,0,30,0,0,0,0,1,2,0,1,0,1,0,4,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,bad
10,25,1,0,0,0,1295,0,0,0,1,0,12,0,0,1,0,0,1,0,1,0,0,1,3,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,bad
11,24,0,1,0,0,4308,0,0,0,1,0,48,0,0,1,0,0,1,0,1,0,0,1,3,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,bad
